courseID,enrollCode,days,time,loction
PHYS CS 15B,T B A,W,2:00pm - 2:50pm,PHELP3505
PHYS CS 15B,,W,3:30pm - 5:50pm,BRDA 3314
PHYS CS 15B,,F,3:00pm - 5:50pm,BRDA 3314
PHYS CS 15B,T B A,W,2:00pm - 2:50pm,SSMS 1301
PHYS CS 15B,,F,3:30pm - 5:50pm,BRDA 3314
PHYS CS 15B,,F,3:00pm - 5:50pm,BRDA 3314
PHYS CS 32,T B A,T R,3:30pm - 4:45pm,HSSB 1210
PHYS CS 32,,W,1:00pm - 2:50pm,BUCHN1934
PHYS CS 32,,W,3:00pm - 4:50pm,BUCHN1934
PHYS CS 35,T B A,R,9:00 am - 10:50am,GIRV 1106
PHYS CS 35,,R,1:00pm - 2:50pm,HSSB 2202
PHYS CS 35,,T R,3:30pm - 4:45pm,GIRV 2124
PHYS CS 140,T B A,F,2:00pm - 3:50pm,387 1015
